,Cell_Bin,Lipid A,Mean,SD,Source,Signal,Sampling,gene_name,FCV MemSeq,FCV scRNA-sq
92,6-8,500 ng/mL,0.0572982467710971,0.002842241898179,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
93,6-8,Mock,0.0200624782592058,0.0017729583196341,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
94,>8,500 ng/mL,0.029432937502861,0.0016005707439035,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
95,>8,Mock,0.0109840296208858,0.0007732299854978,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
96,<4,500 ng/mL,0.3159007575290389,0.0321673984715986,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
97,<4,Mock,0.1723568366149341,0.0934815440679224,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
98,4-6,500 ng/mL,0.2926076781079526,0.0302281572921008,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
99,4-6,Mock,0.1562727710374717,0.1028544573532161,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
100,6-8,500 ng/mL,0.2594420500072129,0.0957021508948637,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
101,6-8,Mock,0.1060188808765634,0.0214405393408074,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
102,>8,500 ng/mL,0.2071900580678457,0.0413379802573017,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
103,>8,Mock,0.0862777361406307,0.0277018188921641,Experiment,per_tnfa_mean,6,Tnf,4.048324961,1.510245139
104,<4,500 ng/mL,0.1383122056722641,0.0235122889280319,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
105,<4,Mock,0.1079030409455299,0.0082855578511953,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
106,4-6,500 ng/mL,0.0768367946147918,0.0038414590526372,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
107,4-6,Mock,0.0539171919226646,0.0025364968460053,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
108,6-8,500 ng/mL,0.0369814932346344,0.0020895441994071,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
109,6-8,Mock,0.0260193534195423,0.0014562511350959,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
110,>8,500 ng/mL,0.0189542360603809,0.0010909826960414,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
111,>8,Mock,0.0141979092732071,0.0008423288818448,Theory,per_tnfa_mean,2000,Tnf,4.048324961,1.510245139
